TANGGAL,TOKO,CASH,KREDIT BCA,DEBIT BCA,QRIS BCA,DEBIT,DEBIT BRI,KREDIT BRI,TRANSFER,GO-BIZ,OVO
# ─────────────────────────────────────────────────────────────────────────────
# PETUNJUK PENGISIAN
# ─────────────────────────────────────────────────────────────────────────────
# TANGGAL    : D/M/YY atau DD/MM/YYYY        (contoh: 1/4/25 atau 01/04/2025)
# TOKO       : Nama toko sesuai sistem       (MKG, BSD, LA.PIAZZA, SMB, SMS, SMB GOLD LOUNGE)
# Kolom lain : Nominal settlement bank per metode pembayaran (angka, boleh pakai titik ribuan)
#              Kolom kosong = 0
#
# SYARAT: Data revenue (jurnal penjualan) harus sudah ada di portal Supabase
#         untuk tanggal + toko tersebut. Script akan mengambil breakdown penjualan
#         dari sana. Jika belum ada → baris dilewati.
#
# Kolom DEBIT        → digabung ke Debit BCA
# Kolom DEBIT BRI    → digabung ke Transfer
# Kolom KREDIT BRI   → digabung ke Transfer
#
# Baris yang diawali # diabaikan.
# ─────────────────────────────────────────────────────────────────────────────
# Contoh:
# 1/1/25,MKG,,261.949,615.653,1.697.171,,,,,,
# 2/1/25,MKG,500000,1.200.000,800.000,2.100.000,,,,150000,,
